url,venue,description,name
/wiki/No_Way_Out_(2012),Izod Center,,No Way Out
/wiki/Money_in_the_Bank_(2012),US Airways Center,,Money in the Bank
/wiki/SummerSlam_(2012),Staples Center,,SummerSlam
/wiki/Night_of_Champions_(2012),TD Garden,,Night of Champions
/wiki/Survivor_Series_(2012),Bankers Life Fieldhouse,,Survivor Series
/wiki/Royal_Rumble_(2013),US Airways Center,,Royal Rumble
/wiki/Elimination_Chamber_(2013),New Orleans Arena,,Elimination Chamber
/wiki/WrestleMania_29,MetLife Stadium,,WrestleMania 29
/wiki/Extreme_Rules_(2013),Scottrade Center,,Extreme Rules
/wiki/Payback_(2013),Allstate Arena,,Payback
/wiki/SummerSlam_(2013),Staples Center,,SummerSlam
/wiki/Night_of_Champions_(2013),Joe Louis Arena,,Night of Champions
/wiki/Battleground_(2013),First Niagara Center,,Battleground
/wiki/Hell_in_a_Cell_(2013),American Airlines Arena,,Hell in a Cell
/wiki/Survivor_Series_(2013),TD Garden,,Survivor Series
"/wiki/TLC:_Tables,_Ladders_and_Chairs_(2013)",Toyota Center,,"TLC: Tables, Ladders and Chairs"
/wiki/Royal_Rumble_(2014),Consol Energy Center,,Royal Rumble
/wiki/WrestleMania_XXX,Mercedes-Benz Superdome,,WrestleMania XXX
/wiki/Extreme_Rules_(2014),Izod Center,,Extreme Rules
/wiki/Battleground_(2014),Tampa Bay Times Forum,,Battleground
/wiki/SummerSlam_(2014),Staples Center,,SummerSlam
/wiki/Night_of_Champions_(2014),Bridgestone Arena,,Night of Champions
/wiki/Hell_in_a_Cell_(2014),American Airlines Center,,Hell in a Cell
"/wiki/TLC:_Tables,_Ladders_and_Chairs_(2014)",Quicken Loans Arena,,"TLC: Tables, Ladders, Chairs... and Stairs"
/wiki/Royal_Rumble_(2015),Wells Fargo Center,,Royal Rumble
/wiki/Fastlane_(2015),FedExForum,,Fastlane
/wiki/WrestleMania_31,Levi's Stadium,,WrestleMania 31
/wiki/Extreme_Rules_(2015),Allstate Arena,,Extreme Rules
/wiki/Payback_(2015),Royal Farms Arena,,Payback
/wiki/Elimination_Chamber_(2015),American Bank Center,,Elimination Chamber
/wiki/Money_in_the_Bank_(2015),Nationwide Arena,,Money in the Bank
/wiki/Battleground_(2015),Scottrade Center,,Battleground
/wiki/SummerSlam_(2015),Barclays Center,,SummerSlam
/wiki/Hell_in_a_Cell_(2015),Staples Center,,Hell in a Cell
/wiki/Survivor_Series_(2015),Philips Arena,,Survivor Series
"/wiki/TLC:_Tables,_Ladders_and_Chairs_(2015)",TD Garden,,"TLC: Tables, Ladders and Chairs"
/wiki/Royal_Rumble_(2016),Amway Center,,Royal Rumble
/wiki/Fastlane_(2016),Quicken Loans Arena,,Fastlane
/wiki/WrestleMania_32,AT&T Stadium,,WrestleMania 32
/wiki/Payback_(2016),Prudential Center,,Payback
